part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
0	52	A	41486.97	41571.87	41491.27	41575.63
0	52	A	41646.17	41867.42	41650.39	41871.47
0	53	L	42157.24	42230.11	42161.42	42234.49
0	53	L	42298.08	42515.66	42301.78	42519.67
0	53	L	42593.23	42674.16	42596.86	42678.37
0	53	L	42752.57	42832.03	42756.88	42835.86
0	54	L	43107.30	43186.09	43111.62	43190.28
0	54	L	43254.87	43479.49	43258.98	43483.63
0	54	L	43561.65	43629.57	43565.74	43633.86
0	54	L	43701.44	43765.07	43705.50	43769.55
0	55	S	44058.03	44139.57	44061.65	44143.17
0	55	S	44215.66	44292.37	44219.41	44296.10
0	55	S	44369.72	44441.81	44373.34	44445.66
0	57	Z	45042.06	45280.65	45046.28	45284.72
0	57	Z	45357.06	45575.09	45361.05	45579.49
0	57	Z	45652.84	45730.36	45656.64	45734.56
0	57	Z	45797.86	45872.29	45802.01	45876.48
0	58	L	46156.11	46227.33	46160.45	46231.11
0	58	L	46311.33	46548.71	46315.23	46552.37
0	58	L	46626.94	46710.77	46630.96	46715.14
0	58	L	46785.02	46851.29	46789.10	46855.11
0	59	4	47150.67	47231.07	47154.39	47234.89
0	59	4	47312.53	47396.45	47316.74	47400.59
0	59	4	47477.75	47552.45	47481.84	47556.44
0	59	4	47638.89	47726.87	47643.07	47730.83
0	59	4	47806.64	48044.47	47810.62	48048.33
0	60	M	48317.12	48586.23	48320.78	48589.97
0	60	M	48648.31	48908.27	48652.46	48912.38
0	61	S	49180.94	49263.98	49185.07	49268.24
0	61	S	49327.79	49411.97	49332.11	49415.78
0	61	S	49481.28	49558.62	49484.94	49562.43
0	62	U	49849.46	49921.22	49853.31	49925.10
0	62	U	49983.88	50055.10	49987.70	50059.48
0	62	U	50136.84	50394.12	50140.40	50397.86
0	64	Y	50915.39	51129.41	50919.14	51133.44
0	64	Y	51211.90	51295.98	51216.37	51299.74
0	64	Y	51371.53	51616.65	51375.56	51620.81
0	64	Y	51687.25	51929.80	51691.38	51933.54
0	65	O	52168.38	52431.96	52172.56	52436.55
0	65	O	52505.06	52744.42	52508.65	52748.83
0	65	O	52827.34	53044.35	52831.34	53048.65
0	66	3	53301.75	53380.47	53306.09	53384.34
0	66	3	53447.80	53535.86	53451.94	53539.75
0	66	3	53607.13	53687.62	53611.03	53691.39
0	66	3	53756.35	53979.84	53760.01	53983.61
0	66	3	54049.58	54295.11	54053.56	54298.70
0	67	F	54552.35	54634.81	54556.15	54639.09
0	67	F	54711.09	54784.44	54715.48	54788.67
0	67	F	54843.14	55083.61	54846.76	55087.60
0	67	F	55162.26	55243.43	55166.41	55246.96
0	68	V	55545.70	55625.56	55549.50	55629.67
0	68	V	55701.45	55766.97	55705.47	55770.53
0	68	V	55847.43	55927.66	55851.33	55931.92
0	68	V	56000.63	56251.36	56004.73	56255.53
0	69	/	56537.44	56758.65	56541.72	56762.65
