"prefix","dxcc_entity","dxcc_name","owner_country","source"
"4U1VIC","206","Austria","Austria","ng3k-direct"
"4U1WB","291","United States","United States","ng3k-direct"
"4U1WRC","117","ITU HQ",,"unresolved"
"4U2U","206","Austria","Austria","ng3k-direct"
"4UNR","206","Austria","Austria","ng3k-direct"
"4V","78","Haiti","Haiti","ng3k-direct"
"4W","511","Timor - Leste","Timor Leste","ng3k-itu-owner"
"4X","336","Israel","Israel","ng3k-direct"
"4Y1A","206","Austria","Austria","ng3k-direct"
"4Z","336","Israel","Israel","ng3k-direct"
"5A","436","Libya","Libya","ng3k-direct"
"5B","215","Cyprus","Cyprus","ng3k-direct"
"5C","446","Morocco","Morocco","ng3k-direct"
"5D","446","Morocco","Morocco","ng3k-direct"
"5E","446","Morocco","Morocco","ng3k-direct"
"5F","446","Morocco","Morocco","ng3k-direct"
"5G","446","Morocco","Morocco","ng3k-direct"
"5H","470","Tanzania","Tanzania","ng3k-direct"
"5I","470","Tanzania","Tanzania","ng3k-direct"
"5J","116","Colombia","Colombia","ng3k-direct"
"5J0","216","San Andres & Providencia","Bajo Nuevo","ng3k-itu-owner"
"5K","116","Colombia","Colombia","ng3k-direct"
"5K0","216","San Andres & Providencia","Bajo Nuevo","ng3k-itu-owner"
"5L","434","Liberia","Liberia","ng3k-direct"
"5M","434","Liberia","Liberia","ng3k-direct"
"5N","450","Nigeria","Nigeria","ng3k-direct"
"5O","450","Nigeria","Nigeria","ng3k-direct"
"5P","221","Denmark","Denmark","ng3k-direct"
"5Q","221","Denmark","Denmark","ng3k-direct"
"5R","438","Madagascar","Madagascar","ng3k-direct"
"5S","438","Madagascar","Madagascar","ng3k-direct"
"5T","444","Mauritania","Mauritania","ng3k-direct"
"5U","187","Niger","Niger","ng3k-direct"
"5V","483","Togo","Togo","ng3k-direct"
"5W","190","Samoa","Samoa","ng3k-direct"
"5X","286","Uganda","Uganda","ng3k-direct"
"5Y","430","Kenya","Kenya","ng3k-direct"
"5Z","430","Kenya","Kenya","ng3k-direct"
"6A","478","Egypt","Egypt","ng3k-direct"
"6B","478","Egypt","Egypt","ng3k-direct"
"6C","384","Syria","Syria","ng3k-direct"
"6D","50","Mexico","Mexico","ng3k-direct"
"6D4","204","Revillagigedo","Revilla Gigedo","ng3k-itu-owner"
