"prefix","dxcc_entity","dxcc_name","owner_country","source"
"BX9S","247","Spratly Islands","Spratly Is","ng3k-itu-owner"
"BY","318","China","China","ng3k-direct"
"BY0","318","China","China","ng3k-direct"
"BY2A","318","China","China","ng3k-direct"
"BY2B","318","China","China","ng3k-direct"
"BY2C","318","China","China","ng3k-direct"
"BY2D","318","China","China","ng3k-direct"
"BY2E","318","China","China","ng3k-direct"
"BY2F","318","China","China","ng3k-direct"
"BY2G","318","China","China","ng3k-direct"
"BY2H","318","China","China","ng3k-direct"
"BY2I","318","China","China","ng3k-direct"
"BY2J","318","China","China","ng3k-direct"
"BY2K","318","China","China","ng3k-direct"
"BY2L","318","China","China","ng3k-direct"
"BY2M","318","China","China","ng3k-direct"
"BY2N","318","China","China","ng3k-direct"
"BY2O","318","China","China","ng3k-direct"
"BY2P","318","China","China","ng3k-direct"
"BY3G","318","China","China","ng3k-direct"
"BY3H","318","China","China","ng3k-direct"
"BY3I","318","China","China","ng3k-direct"
"BY3J","318","China","China","ng3k-direct"
"BY3K","318","China","China","ng3k-direct"
"BY3L","318","China","China","ng3k-direct"
"BY6Q","318","China","China","ng3k-direct"
"BY6R","318","China","China","ng3k-direct"
"BY6S","318","China","China","ng3k-direct"
"BY6T","318","China","China","ng3k-direct"
"BY6U","318","China","China","ng3k-direct"
"BY6V","318","China","China","ng3k-direct"
"BY6W","318","China","China","ng3k-direct"
"BY6X","318","China","China","ng3k-direct"
"BY7A","318","China","China","ng3k-direct"
"BY7B","318","China","China","ng3k-direct"
"BY7C","318","China","China","ng3k-direct"
"BY7D","318","China","China","ng3k-direct"
"BY7E","318","China","China","ng3k-direct"
"BY7F","318","China","China","ng3k-direct"
"BY7G","318","China","China","ng3k-direct"
"BY7H","318","China","China","ng3k-direct"
"BY7Q","318","China","China","ng3k-direct"
"BY7R","318","China","China","ng3k-direct"
"BY7S","318","China","China","ng3k-direct"
"BY7T","318","China","China","ng3k-direct"
"BY7U","318","China","China","ng3k-direct"
"BY7V","318","China","China","ng3k-direct"
"BY7W","318","China","China","ng3k-direct"
"BY7X","318","China","China","ng3k-direct"
"BY8A","318","China","China","ng3k-direct"
"BY8B","318","China","China","ng3k-direct"
"BY8C","318","China","China","ng3k-direct"
"BY8D","318","China","China","ng3k-direct"
"BY8E","318","China","China","ng3k-direct"
"BY8F","318","China","China","ng3k-direct"
"BY8G","318","China","China","ng3k-direct"
"BY8H","318","China","China","ng3k-direct"
"BY8I","318","China","China","ng3k-direct"
"BY8J","318","China","China","ng3k-direct"
"BY8K","318","China","China","ng3k-direct"
"BY8L","318","China","China","ng3k-direct"
"BY8M","318","China","China","ng3k-direct"
"BY8N","318","China","China","ng3k-direct"
"BY8O","318","China","China","ng3k-direct"
"BY8P","318","China","China","ng3k-direct"
"BY8Q","318","China","China","ng3k-direct"
"BY8R","318","China","China","ng3k-direct"
"BY8S","318","China","China","ng3k-direct"
"BY8T","318","China","China","ng3k-direct"
"BY8U","318","China","China","ng3k-direct"
"BY8V","318","China","China","ng3k-direct"
"BY8W","318","China","China","ng3k-direct"
"BY8X","318","China","China","ng3k-direct"
"BY9","318","China","China","ng3k-direct"
"BY9A","318","China","China","ng3k-direct"
"BY9B","318","China","China","ng3k-direct"
"BY9C","318","China","China","ng3k-direct"
"BY9D","318","China","China","ng3k-direct"
"BY9E","318","China","China","ng3k-direct"
"BY9F","318","China","China","ng3k-direct"
"BY9S","318","China","China","ng3k-direct"
"BY9T","318","China","China","ng3k-direct"
"BY9U","318","China","China","ng3k-direct"
"BY9V","318","China","China","ng3k-direct"
"BY9W","318","China","China","ng3k-direct"
"BY9X","318","China","China","ng3k-direct"
"BZ","318","China","China","ng3k-direct"
"BZ0","318","China","China","ng3k-direct"
"BZ2A","318","China","China","ng3k-direct"
"BZ2B","318","China","China","ng3k-direct"
"BZ2C","318","China","China","ng3k-direct"
"BZ2D","318","China","China","ng3k-direct"
"BZ2E","318","China","China","ng3k-direct"
"BZ2F","318","China","China","ng3k-direct"
"BZ2G","318","China","China","ng3k-direct"
"BZ2H","318","China","China","ng3k-direct"
"BZ2I","318","China","China","ng3k-direct"
"BZ2J","318","China","China","ng3k-direct"
"BZ2K","318","China","China","ng3k-direct"
"BZ2L","318","China","China","ng3k-direct"
"BZ2M","318","China","China","ng3k-direct"
"BZ2N","318","China","China","ng3k-direct"
"BZ2O","318","China","China","ng3k-direct"
"BZ2P","318","China","China","ng3k-direct"
"BZ3G","318","China","China","ng3k-direct"
"BZ3H","318","China","China","ng3k-direct"
"BZ3I","318","China","China","ng3k-direct"
"BZ3J","318","China","China","ng3k-direct"
"BZ3K","318","China","China","ng3k-direct"
"BZ3L","318","China","China","ng3k-direct"
"BZ6Q","318","China","China","ng3k-direct"
"BZ6R","318","China","China","ng3k-direct"
"BZ6S","318","China","China","ng3k-direct"
"BZ6T","318","China","China","ng3k-direct"
"BZ6U","318","China","China","ng3k-direct"
"BZ6V","318","China","China","ng3k-direct"
"BZ6W","318","China","China","ng3k-direct"
"BZ6X","318","China","China","ng3k-direct"
"BZ7A","318","China","China","ng3k-direct"
"BZ7B","318","China","China","ng3k-direct"
"BZ7C","318","China","China","ng3k-direct"
"BZ7D","318","China","China","ng3k-direct"
"BZ7E","318","China","China","ng3k-direct"
"BZ7F","318","China","China","ng3k-direct"
"BZ7G","318","China","China","ng3k-direct"
"BZ7H","318","China","China","ng3k-direct"
"BZ7Q","318","China","China","ng3k-direct"
"BZ7R","318","China","China","ng3k-direct"
"BZ7S","318","China","China","ng3k-direct"
"BZ7T","318","China","China","ng3k-direct"
"BZ7U","318","China","China","ng3k-direct"
"BZ7V","318","China","China","ng3k-direct"
"BZ7W","318","China","China","ng3k-direct"
"BZ7X","318","China","China","ng3k-direct"
"BZ8A","318","China","China","ng3k-direct"
"BZ8B","318","China","China","ng3k-direct"
"BZ8C","318","China","China","ng3k-direct"
"BZ8D","318","China","China","ng3k-direct"
"BZ8E","318","China","China","ng3k-direct"
"BZ8F","318","China","China","ng3k-direct"
"BZ8G","318","China","China","ng3k-direct"
"BZ8H","318","China","China","ng3k-direct"
"BZ8I","318","China","China","ng3k-direct"
"BZ8J","318","China","China","ng3k-direct"
"BZ8K","318","China","China","ng3k-direct"
"BZ8L","318","China","China","ng3k-direct"
"BZ8M","318","China","China","ng3k-direct"
"BZ8N","318","China","China","ng3k-direct"
"BZ8O","318","China","China","ng3k-direct"
"BZ8P","318","China","China","ng3k-direct"
"BZ8Q","318","China","China","ng3k-direct"
"BZ8R","318","China","China","ng3k-direct"
"BZ8S","318","China","China","ng3k-direct"
"BZ8T","318","China","China","ng3k-direct"
"BZ8U","318","China","China","ng3k-direct"
"BZ8V","318","China","China","ng3k-direct"
"BZ8W","318","China","China","ng3k-direct"
"BZ8X","318","China","China","ng3k-direct"
"BZ9","318","China","China","ng3k-direct"
"BZ9A","318","China","China","ng3k-direct"
"BZ9B","318","China","China","ng3k-direct"
"BZ9C","318","China","China","ng3k-direct"
"BZ9D","318","China","China","ng3k-direct"
"BZ9E","318","China","China","ng3k-direct"
"BZ9F","318","China","China","ng3k-direct"
"BZ9S","318","China","China","ng3k-direct"
"BZ9T","318","China","China","ng3k-direct"
"BZ9U","318","China","China","ng3k-direct"
"BZ9V","318","China","China","ng3k-direct"
"BZ9W","318","China","China","ng3k-direct"
"BZ9X","318","China","China","ng3k-direct"
"C2","157","Nauru","Nauru","ng3k-direct"
"C3","203","Andorra","Andorra","ng3k-direct"
"C4","215","Cyprus","Cyprus","ng3k-direct"
"C5","422","The Gambia","Gambia","ng3k-itu-owner"
"C6","60","Bahamas","Bahamas","ng3k-direct"
"C7A","206","Vienna Intl Ctr",,"unresolved"
"C8","181","Mozambique","Manchuria","ng3k-itu-owner"
"C9","181","Mozambique","Manchuria","ng3k-itu-owner"
"CA","112","Chile","Chile","ng3k-direct"
"CA0","47","Easter Island","Easter Is","ng3k-itu-owner"
"CA0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"CA0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CA7","112","Chile","Chile","ng3k-direct"
"CA8","112","Chile","Chile","ng3k-direct"
"CB","112","Chile","Chile","ng3k-direct"
"CB0","47","Easter Island","Easter Is","ng3k-itu-owner"
"CB0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"CB0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CB7","112","Chile","Chile","ng3k-direct"
"CB8","112","Chile","Chile","ng3k-direct"
"CC","112","Chile","Chile","ng3k-direct"
"CC0","47","Easter Island","Easter Is","ng3k-itu-owner"
"CC0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"CC0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CC7","112","Chile","Chile","ng3k-direct"
"CC8","112","Chile","Chile","ng3k-direct"
"CD","112","Chile","Chile","ng3k-direct"
"CD0","47","Easter Island","Easter Is","ng3k-itu-owner"
"CD0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"CD0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CD7","112","Chile","Chile","ng3k-direct"
"CD8","112","Chile","Chile","ng3k-direct"
"CE","112","Chile","Chile","ng3k-direct"
"CE0","47","Easter Island","Easter Is","ng3k-itu-owner"
"CE0I","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CE0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"CE0Y","47","Easter Island","Easter Is","ng3k-itu-owner"
"CE0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"CE6RFP","112","Chile","Chile","ng3k-direct"
"CE7","112","Chile","Chile","ng3k-direct"
"CE8","112","Chile","Chile","ng3k-direct"
"CE9","13","Antarctica","Antarctica","ng3k-direct"
"CE9","241","South Shetland Islands","Antarctica","ng3k-itu-owner"
"CF","1","Canada","Canada","ng3k-direct"
"CF2","1","Canada","Canada","ng3k-direct"
"CG","1","Canada","Canada","ng3k-direct"
"CG2","1","Canada","Canada","ng3k-direct"
"CH1","1","Canada","Canada","ng3k-direct"
"CH2","1","Canada","Canada","ng3k-direct"
"CI0","1","Canada","Canada","ng3k-direct"
"CI1","1","Canada","Canada","ng3k-direct"
"CI2","1","Canada","Canada","ng3k-direct"
"CJ","1","Canada","Canada","ng3k-direct"
"CJ2","1","Canada","Canada","ng3k-direct"
"CK","1","Canada","Canada","ng3k-direct"
"CK2","1","Canada","Canada","ng3k-direct"
"CL","70","Cuba","Cuba","ng3k-direct"
"CM","70","Cuba","Cuba","ng3k-direct"
"CN","446","Morocco","Morocco","ng3k-direct"
"CO","70","Cuba","Cuba","ng3k-direct"
"CP","104","Bolivia","Bolivia","ng3k-direct"
"CP2","104","Bolivia","Bolivia","ng3k-direct"
"CP3","104","Bolivia","Bolivia","ng3k-direct"
"CP4","104","Bolivia","Bolivia","ng3k-direct"
"CP5","104","Bolivia","Bolivia","ng3k-direct"
"CP6","104","Bolivia","Bolivia","ng3k-direct"
"CP7","104","Bolivia","Bolivia","ng3k-direct"
"CQ","272","Portugal","Portugal","ng3k-direct"
"CQ1","149","Azores","Azores","ng3k-direct"
"CQ2","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CQ3","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CQ8","149","Azores","Azores","ng3k-direct"
"CQ9","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CR","272","Portugal","Portugal","ng3k-direct"
"CR1","149","Azores","Azores","ng3k-direct"
"CR2","149","Azores","Azores","ng3k-direct"
"CR3","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CR8","149","Azores","Azores","ng3k-direct"
"CR9","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CS","272","Portugal","Portugal","ng3k-direct"
"CS3","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CS4","149","Azores","Azores","ng3k-direct"
"CS8","149","Azores","Azores","ng3k-direct"
"CS9","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CT","272","Portugal","Portugal","ng3k-direct"
"CT3","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CT8","149","Azores","Azores","ng3k-direct"
"CT9","256","Madeira Islands","Madeira Is","ng3k-itu-owner"
"CU","149","Azores","Azores","ng3k-direct"
"CV","144","Uruguay","Uruguay","ng3k-direct"
"CW","144","Uruguay","Uruguay","ng3k-direct"
"CX","144","Uruguay","Uruguay","ng3k-direct"
"CY0","211","Sable Island","Sable Is","ng3k-itu-owner"
"CY1","1","Canada","Canada","ng3k-direct"
"CY2","1","Canada","Canada","ng3k-direct"
"CY9","252","St. Paul Island","St Paul Is","ng3k-itu-owner"
"CZ0","1","Canada","Canada","ng3k-direct"
"CZ1","1","Canada","Canada","ng3k-direct"
"CZ2","1","Canada","Canada","ng3k-direct"
"D2","401","Angola","Angola","ng3k-direct"
"D3","401","Angola","Angola","ng3k-direct"
"D4","409","Cape Verde","Cape Verde","ng3k-direct"
"D5","434","Liberia","Liberia","ng3k-direct"
"D6","411","Comoros","Comoros","ng3k-direct"
"D7","137","Republic of Korea","So Korea","ng3k-itu-owner"
"D8","137","Republic of Korea","So Korea","ng3k-itu-owner"
"D9","137","Republic of Korea","So Korea","ng3k-itu-owner"
"DA","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DB","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DC","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DD","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DE","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DF","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DG","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DH","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DI","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DJ","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DK","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DL","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DM","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DN","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DO","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DP","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DP0GVN","13","Antarctica","Antarctica","ng3k-direct"
"DP1POL","13","Antarctica","Antarctica","ng3k-direct"
"DQ","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DR","230","Fed. Rep. of Germany","Germany","ng3k-itu-owner"
"DS","137","Republic of Korea","So Korea","ng3k-itu-owner"
"DT","137","Republic of Korea","So Korea","ng3k-itu-owner"
"DU","375","Philippines","Philippines","ng3k-direct"
"DV","375","Philippines","Philippines","ng3k-direct"
"DW","375","Philippines","Philippines","ng3k-direct"
"DX","375","Philippines","Philippines","ng3k-direct"
"DY","375","Philippines","Philippines","ng3k-direct"
"DZ","375","Philippines","Philippines","ng3k-direct"
"E2","387","Thailand","Thailand","ng3k-direct"
"E3","51","Eritrea","Eritrea","ng3k-direct"
"E4","510","Palestine","Palestine","ng3k-direct"
"E5","234","South Cook Islands","No Cook Is","ng3k-itu-owner"
"E5/N","191","North Cook Islands",,"unresolved"
"E5/S","234","South Cook Islands","No Cook Is","ng3k-itu-owner"
"E51PT","191","North Cook Islands",,"unresolved"
"E51WL","191","North Cook Islands",,"unresolved"
"E6","188","Niue","Niue","ng3k-direct"
"E7","501","Bosnia-Herzegovina","Bosnia-Hercegovina","ng3k-itu-owner"
"EA","281","Spain","Spain","ng3k-direct"
"EA1RCI/P","281","Spain","Spain","ng3k-direct"
"EA2EZ/P","281","Spain","Spain","ng3k-direct"
"EA5CC/P","281","Spain","Spain","ng3k-direct"
"EA5IKT/P","281","Spain","Spain","ng3k-direct"
"EA5IYX/P","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EA6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EA6URP/2","281","Spain","Spain","ng3k-direct"
"EA6URP/4","281","Spain","Spain","ng3k-direct"
"EA6XQ/P","281","Spain","Spain","ng3k-direct"
"EA8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EA9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EA9ADD","281","Spain","Spain","ng3k-direct"
"EA9E/P","281","Spain","Spain","ng3k-direct"
"EA9HU","281","Spain","Spain","ng3k-direct"
"EB","281","Spain","Spain","ng3k-direct"
"EB6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EB8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EB9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EC","281","Spain","Spain","ng3k-direct"
"EC5AHA/P","281","Spain","Spain","ng3k-direct"
"EC6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EC8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EC9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"ED","281","Spain","Spain","ng3k-direct"
"ED6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"ED8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"ED9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EE","281","Spain","Spain","ng3k-direct"
"EE6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EE8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EE9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EF","281","Spain","Spain","ng3k-direct"
"EF6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EF8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EF9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EG","281","Spain","Spain","ng3k-direct"
"EG6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EG61GURU","281","Spain","Spain","ng3k-direct"
"EG8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EG9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EH","281","Spain","Spain","ng3k-direct"
"EH6","21","Balearic Islands","Balearic Is","ng3k-itu-owner"
"EH8","29","Canary Islands","Canary Is","ng3k-itu-owner"
"EH9","32","Ceuta & Melilla","Ceuta & Melilla","ng3k-direct"
"EH90ALL","281","Spain","Spain","ng3k-direct"
"EI","245","Ireland","Ireland","ng3k-direct"
"EJ","245","Ireland","Ireland","ng3k-direct"
"EK","14","Armenia","Armenia","ng3k-direct"
"EL","434","Liberia","Liberia","ng3k-direct"
"EM","288","Ukraine","Ukraine","ng3k-direct"
"EN","288","Ukraine","Ukraine","ng3k-direct"
"EO","288","Ukraine","Ukraine","ng3k-direct"
"EP","330","Iran","Iran","ng3k-direct"
"EQ","330","Iran","Iran","ng3k-direct"
"ER","179","Moldova","Moldova","ng3k-direct"
"ES","52","Estonia","Estonia","ng3k-direct"
"ET","53","Ethiopia","Ethiopia","ng3k-direct"
"EU","27","Belarus","Belarus","ng3k-direct"
"EV","27","Belarus","Belarus","ng3k-direct"
"EW","27","Belarus","Belarus","ng3k-direct"
"EX","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX0P","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX0Q","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX2P","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX2Q","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX6P","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX6Q","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX7P","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX7Q","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX8P","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EX8Q","135","Kyrgyzstan","Kyrgyzstan","ng3k-direct"
"EY","262","Tajikistan","Tajikistan","ng3k-direct"
"EZ","280","Turkmenistan","Turkmenistan","ng3k-direct"
"F","227","France","France","ng3k-direct"
"FG","79","Guadeloupe","Guadeloupe","ng3k-direct"
"FH","169","Mayotte","Comoros","ng3k-itu-owner"
"FJ","516","St. Barthelemy","St Barthelemy","ng3k-itu-owner"
"FK","162","New Caledonia","Chesterfield Is","ng3k-itu-owner"
"FK/C","512","Chesterfield Islands","Chesterfield Is","ng3k-itu-owner"
"FM","84","Martinique","Martinique","ng3k-direct"
"FO","175","French Polynesia","French Polynesia","ng3k-direct"
"FO/A","508","Austral Islands","Austral Is","ng3k-itu-owner"
"FO/C","36","Clipperton Island",,"unresolved"
"FO/M","509","Marquesas Islands","Marquesas Is","ng3k-itu-owner"
"FO5QS","509","Marquesas Islands","Marquesas Is","ng3k-itu-owner"
"FP","277","St. Pierre & Miquelon","St Pierre & Miquelon","ng3k-itu-owner"
"FR","453","Reunion Island","Reunion","ng3k-itu-owner"
"FS","213","St. Martin","St Martin","ng3k-itu-owner"
"FT/G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT/J","124","Juan de Nova & Europa",,"unresolved"
"FT/T","276","Tromelin Island",,"unresolved"
"FT/W","41","Crozet Island",,"unresolved"
"FT/X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT/Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT0E","124","Juan de Nova & Europa",,"unresolved"
"FT0G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT0J","124","Juan de Nova & Europa",,"unresolved"
"FT0T","276","Tromelin Island",,"unresolved"
"FT0W","41","Crozet Island",,"unresolved"
"FT0X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT0Y","13","Antarctica","Antarctica","ng3k-direct"
"FT0Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT1E","124","Juan de Nova & Europa",,"unresolved"
"FT1G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT1J","124","Juan de Nova & Europa",,"unresolved"
"FT1T","276","Tromelin Island",,"unresolved"
"FT1Y","13","Antarctica","Antarctica","ng3k-direct"
"FT1Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT2E","124","Juan de Nova & Europa",,"unresolved"
"FT2G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT2J","124","Juan de Nova & Europa",,"unresolved"
"FT2T","276","Tromelin Island",,"unresolved"
"FT2X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT2Y","13","Antarctica","Antarctica","ng3k-direct"
"FT2Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT3E","124","Juan de Nova & Europa",,"unresolved"
"FT3G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT3J","124","Juan de Nova & Europa",,"unresolved"
"FT3T","276","Tromelin Island",,"unresolved"
"FT3Y","13","Antarctica","Antarctica","ng3k-direct"
"FT3Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT4E","124","Juan de Nova & Europa",,"unresolved"
"FT4G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT4J","124","Juan de Nova & Europa",,"unresolved"
"FT4T","276","Tromelin Island",,"unresolved"
"FT4W","41","Crozet Island",,"unresolved"
"FT4X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT4Y","13","Antarctica","Antarctica","ng3k-direct"
"FT4Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT5G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT5T","276","Tromelin Island",,"unresolved"
"FT5W","41","Crozet Island",,"unresolved"
"FT5X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT5Y","13","Antarctica","Antarctica","ng3k-direct"
"FT5Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT6E","124","Juan de Nova & Europa",,"unresolved"
"FT6G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT6J","124","Juan de Nova & Europa",,"unresolved"
"FT6T","276","Tromelin Island",,"unresolved"
"FT6Y","13","Antarctica","Antarctica","ng3k-direct"
"FT6Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT7E","124","Juan de Nova & Europa",,"unresolved"
"FT7G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT7J","124","Juan de Nova & Europa",,"unresolved"
"FT7T","276","Tromelin Island",,"unresolved"
"FT7Y","13","Antarctica","Antarctica","ng3k-direct"
"FT7Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT8E","124","Juan de Nova & Europa",,"unresolved"
"FT8G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT8J","124","Juan de Nova & Europa",,"unresolved"
"FT8T","276","Tromelin Island",,"unresolved"
"FT8W","41","Crozet Island",,"unresolved"
"FT8X","131","Kerguelen Islands","Kerguelen Is","ng3k-itu-owner"
"FT8Y","13","Antarctica","Antarctica","ng3k-direct"
"FT8Z","10","Amsterdam & St. Paul Is.","Amsterdam & St Paul Is","ng3k-itu-owner"
"FT9E","124","Juan de Nova & Europa",,"unresolved"
"FT9G","99","Glorioso Islands","Glorioso Is","ng3k-itu-owner"
"FT9J","124","Juan de Nova & Europa",,"unresolved"
"FT9T","276","Tromelin Island",,"unresolved"
"FW","298","Wallis & Futuna Islands","Wallis & Futuna Is","ng3k-itu-owner"
"FY","63","French Guiana","French Guiana","ng3k-direct"
"G","223","England","England","ng3k-direct"
"G0HCQ","279","Scotland","Scotland","ng3k-direct"
"G0JCE","279","Scotland","Scotland","ng3k-direct"
"G1R","279","Scotland","Scotland","ng3k-direct"
"G1T","279","Scotland","Scotland","ng3k-direct"
"G4WZG","279","Scotland","Scotland","ng3k-direct"
"G4X","279","Scotland","Scotland","ng3k-direct"
"G5DXR","294","Wales","Wales","ng3k-direct"
"G5MUT","294","Wales","Wales","ng3k-direct"
"G5RDX","279","Scotland","Scotland","ng3k-direct"
"G6ICR","114","Isle of Man","Isle of Man","ng3k-direct"
"G8ERJ","291","United States","United States","ng3k-direct"
"GB0MPA","294","Wales","Wales","ng3k-direct"
"GB0OH","279","Scotland","Scotland","ng3k-direct"
"GB0SPD","265","Northern Ireland","No Ireland","ng3k-itu-owner"
"GB0VLY","294","Wales","Wales","ng3k-direct"
"GB1BFL","279","Scotland","Scotland","ng3k-direct"
"GB1DAA","279","Shetland Islands","Scotland","ng3k-itu-owner"
"GB26RNLI","279","Scotland","Scotland","ng3k-direct"
"GB2CM","279","Scotland","Scotland","ng3k-direct"
"GB2ELH","279","Scotland","Scotland","ng3k-direct"
"GB2IMD","294","Wales","Wales","ng3k-direct"
"GB2JCM","279","Scotland","Scotland","ng3k-direct"
"GB2MOP","294","Wales","Wales","ng3k-direct"
"GB2TD","294","Wales","Wales","ng3k-direct"
"GB2VK","294","Wales","Wales","ng3k-direct"
"GB3ANG","279","Scotland","Scotland","ng3k-direct"
"GB3LER","279","Shetland Islands","Scotland","ng3k-itu-owner"
"GB3LER/B","279","Shetland Islands","Scotland","ng3k-itu-owner"
"GB4LER","279","Scotland","Scotland","ng3k-direct"
"GB4MDI","294","Wales","Wales","ng3k-direct"
"GB4RS","106","Guernsey","Guernsey","ng3k-direct"
"GB4SDD","294","Wales","Wales","ng3k-direct"
