"prefix","owner_country","status","source","candidates","dxcc_examples"
"DZ","Philippines","resolved","ng3k-direct","Philippines","Philippines"
"E2","Thailand","resolved","ng3k-direct","Thailand","Thailand"
"E3","Eritrea","resolved","ng3k-direct","Eritrea","Eritrea"
"E4","Palestine","resolved","ng3k-direct","Palestine","Palestine"
"E5","No Cook Is","resolved","ng3k-itu-owner","No Cook Is","South Cook Islands"
"E5/N","","unresolved","","","North Cook Islands"
"E5/S","No Cook Is","resolved","ng3k-itu-owner","No Cook Is","South Cook Islands"
"E51PT","","unresolved","","","North Cook Islands"
"E51WL","","unresolved","","","North Cook Islands"
"E6","Niue","resolved","ng3k-direct","Niue","Niue"
"E7","Bosnia-Hercegovina","resolved","ng3k-itu-owner","Bosnia-Hercegovina","Bosnia-Herzegovina"
"EA","Spain","resolved","ng3k-direct","Spain","Spain"
"EA1RCI/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA2EZ/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA5CC/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA5IKT/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA5IYX/P","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EA6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EA6URP/2","Spain","resolved","ng3k-direct","Spain","Spain"
"EA6URP/4","Spain","resolved","ng3k-direct","Spain","Spain"
"EA6XQ/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EA9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EA9ADD","Spain","resolved","ng3k-direct","Spain","Spain"
"EA9E/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EA9HU","Spain","resolved","ng3k-direct","Spain","Spain"
"EB","Spain","resolved","ng3k-direct","Spain","Spain"
"EB6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EB8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EB9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EC","Spain","resolved","ng3k-direct","Spain","Spain"
"EC5AHA/P","Spain","resolved","ng3k-direct","Spain","Spain"
"EC6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EC8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EC9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"ED","Spain","resolved","ng3k-direct","Spain","Spain"
"ED6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"ED8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"ED9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EE","Spain","resolved","ng3k-direct","Spain","Spain"
"EE6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EE8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EE9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EF","Spain","resolved","ng3k-direct","Spain","Spain"
"EF6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EF8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EF9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EG","Spain","resolved","ng3k-direct","Spain","Spain"
"EG6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EG61GURU","Spain","resolved","ng3k-direct","Spain","Spain"
"EG8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EG9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EH","Spain","resolved","ng3k-direct","Spain","Spain"
"EH6","Balearic Is","resolved","ng3k-itu-owner","Balearic Is","Balearic Islands"
"EH8","Canary Is","resolved","ng3k-itu-owner","Canary Is","Canary Islands"
"EH9","Ceuta & Melilla","resolved","ng3k-direct","Ceuta & Melilla","Ceuta & Melilla"
"EH90ALL","Spain","resolved","ng3k-direct","Spain","Spain"
"EI","Ireland","resolved","ng3k-direct","Ireland","Ireland"
"EJ","Ireland","resolved","ng3k-direct","Ireland","Ireland"
"EK","Armenia","resolved","ng3k-direct","Armenia","Armenia"
"EL","Liberia","resolved","ng3k-direct","Liberia","Liberia"
"EM","Ukraine","resolved","ng3k-direct","Ukraine","Ukraine"
"EN","Ukraine","resolved","ng3k-direct","Ukraine","Ukraine"
"EO","Ukraine","resolved","ng3k-direct","Ukraine","Ukraine"
"EP","Iran","resolved","ng3k-direct","Iran","Iran"
"EQ","Iran","resolved","ng3k-direct","Iran","Iran"
"ER","Moldova","resolved","ng3k-direct","Moldova","Moldova"
"ES","Estonia","resolved","ng3k-direct","Estonia","Estonia"
"ET","Ethiopia","resolved","ng3k-direct","Ethiopia","Ethiopia"
"EU","Belarus","resolved","ng3k-direct","Belarus","Belarus"
"EV","Belarus","resolved","ng3k-direct","Belarus","Belarus"
"EW","Belarus","resolved","ng3k-direct","Belarus","Belarus"
"EX","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX0P","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX0Q","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX2P","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX2Q","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX6P","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX6Q","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX7P","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX7Q","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX8P","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EX8Q","Kyrgyzstan","resolved","ng3k-direct","Kyrgyzstan","Kyrgyzstan"
"EY","Tajikistan","resolved","ng3k-direct","Tajikistan","Tajikistan"
"EZ","Turkmenistan","resolved","ng3k-direct","Turkmenistan","Turkmenistan"
"F","France","resolved","ng3k-direct","France","France"
"FG","Guadeloupe","resolved","ng3k-direct","Guadeloupe","Guadeloupe"
"FH","Comoros","resolved","ng3k-itu-owner","Comoros","Mayotte"
"FJ","St Barthelemy","resolved","ng3k-itu-owner","St Barthelemy","St. Barthelemy"
"FK","Chesterfield Is","resolved","ng3k-itu-owner","Chesterfield Is","New Caledonia"
"FK/C","Chesterfield Is","resolved","ng3k-itu-owner","Chesterfield Is","Chesterfield Islands"
"FM","Martinique","resolved","ng3k-direct","Martinique","Martinique"
"FO","French Polynesia","resolved","ng3k-direct","French Polynesia","French Polynesia"
"FO/A","Austral Is","resolved","ng3k-itu-owner","Austral Is","Austral Islands"
"FO/C","","unresolved","","","Clipperton Island"
"FO/M","Marquesas Is","resolved","ng3k-itu-owner","Marquesas Is","Marquesas Islands"
"FO5QS","Marquesas Is","resolved","ng3k-itu-owner","Marquesas Is","Marquesas Islands"
"FP","St Pierre & Miquelon","resolved","ng3k-itu-owner","St Pierre & Miquelon","St. Pierre & Miquelon"
"FR","Reunion","resolved","ng3k-itu-owner","Reunion","Reunion Island"
"FS","St Martin","resolved","ng3k-itu-owner","St Martin","St. Martin"
"FT/G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT/J","","unresolved","","","Juan de Nova & Europa"
"FT/T","","unresolved","","","Tromelin Island"
"FT/W","","unresolved","","","Crozet Island"
"FT/X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT/Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT0E","","unresolved","","","Juan de Nova & Europa"
"FT0G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT0J","","unresolved","","","Juan de Nova & Europa"
"FT0T","","unresolved","","","Tromelin Island"
"FT0W","","unresolved","","","Crozet Island"
"FT0X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT0Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT0Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT1E","","unresolved","","","Juan de Nova & Europa"
"FT1G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT1J","","unresolved","","","Juan de Nova & Europa"
"FT1T","","unresolved","","","Tromelin Island"
"FT1Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT1Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT2E","","unresolved","","","Juan de Nova & Europa"
"FT2G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT2J","","unresolved","","","Juan de Nova & Europa"
"FT2T","","unresolved","","","Tromelin Island"
"FT2X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT2Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT2Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT3E","","unresolved","","","Juan de Nova & Europa"
"FT3G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT3J","","unresolved","","","Juan de Nova & Europa"
"FT3T","","unresolved","","","Tromelin Island"
"FT3Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT3Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT4E","","unresolved","","","Juan de Nova & Europa"
"FT4G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT4J","","unresolved","","","Juan de Nova & Europa"
"FT4T","","unresolved","","","Tromelin Island"
"FT4W","","unresolved","","","Crozet Island"
"FT4X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT4Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT4Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT5G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT5T","","unresolved","","","Tromelin Island"
"FT5W","","unresolved","","","Crozet Island"
"FT5X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT5Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT5Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT6E","","unresolved","","","Juan de Nova & Europa"
"FT6G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT6J","","unresolved","","","Juan de Nova & Europa"
"FT6T","","unresolved","","","Tromelin Island"
"FT6Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT6Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT7E","","unresolved","","","Juan de Nova & Europa"
"FT7G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT7J","","unresolved","","","Juan de Nova & Europa"
"FT7T","","unresolved","","","Tromelin Island"
"FT7Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT7Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT8E","","unresolved","","","Juan de Nova & Europa"
"FT8G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT8J","","unresolved","","","Juan de Nova & Europa"
"FT8T","","unresolved","","","Tromelin Island"
"FT8W","","unresolved","","","Crozet Island"
"FT8X","Kerguelen Is","resolved","ng3k-itu-owner","Kerguelen Is","Kerguelen Islands"
"FT8Y","Antarctica","resolved","ng3k-direct","Antarctica","Antarctica"
"FT8Z","Amsterdam & St Paul Is","resolved","ng3k-itu-owner","Amsterdam & St Paul Is","Amsterdam & St. Paul Is."
"FT9E","","unresolved","","","Juan de Nova & Europa"
"FT9G","Glorioso Is","resolved","ng3k-itu-owner","Glorioso Is","Glorioso Islands"
"FT9J","","unresolved","","","Juan de Nova & Europa"
"FT9T","","unresolved","","","Tromelin Island"
"FW","Wallis & Futuna Is","resolved","ng3k-itu-owner","Wallis & Futuna Is","Wallis & Futuna Islands"
"FY","French Guiana","resolved","ng3k-direct","French Guiana","French Guiana"
"G","England","resolved","ng3k-direct","England","England"
"G0HCQ","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G0JCE","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G1R","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G1T","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G4WZG","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G4X","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G5DXR","Wales","resolved","ng3k-direct","Wales","Wales"
"G5MUT","Wales","resolved","ng3k-direct","Wales","Wales"
"G5RDX","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"G6ICR","Isle of Man","resolved","ng3k-direct","Isle of Man","Isle of Man"
"G8ERJ","United States","resolved","ng3k-direct","United States","United States"
"GB0MPA","Wales","resolved","ng3k-direct","Wales","Wales"
"GB0OH","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB0SPD","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GB0VLY","Wales","resolved","ng3k-direct","Wales","Wales"
"GB1BFL","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB1DAA","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GB26RNLI","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB2CM","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB2ELH","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB2IMD","Wales","resolved","ng3k-direct","Wales","Wales"
"GB2JCM","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB2MOP","Wales","resolved","ng3k-direct","Wales","Wales"
"GB2TD","Wales","resolved","ng3k-direct","Wales","Wales"
"GB2VK","Wales","resolved","ng3k-direct","Wales","Wales"
"GB3ANG","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB3LER","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GB3LER/B","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GB4LER","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GB4MDI","Wales","resolved","ng3k-direct","Wales","Wales"
"GB4RS","Guernsey","resolved","ng3k-direct","Guernsey","Guernsey"
"GB4SDD","Wales","resolved","ng3k-direct","Wales","Wales"
"GB4SPD","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GB5PAT","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GB6SPD","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GB8MD","Wales","resolved","ng3k-direct","Wales","Wales"
"GB9SPD","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GC","Wales","resolved","ng3k-direct","Wales","Wales"
"GD","Isle of Man","resolved","ng3k-direct","Isle of Man","Isle of Man"
"GH","Jersey","resolved","ng3k-direct","Jersey","Jersey"
"GI","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GJ","Jersey","resolved","ng3k-direct","Jersey","Jersey"
"GM","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GM/S","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM0AVR","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM0EKM","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM0GFL","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM0ILB","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM0JDB","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM1FGN","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM1KKI","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM1ZNR","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM3WHT","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM3ZET","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4IPK","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4JPI","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4LBE","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4LER","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4PXG","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4SLV","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4WXQ","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM4ZHL","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM6RQW","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM6YQA","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM7AFE","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM7GWW","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM8LNH","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM8MMA","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GM8YEC","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GN","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"GP","Guernsey","resolved","ng3k-direct","Guernsey","Guernsey"
"GS","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"GS3ZET","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"GT","Isle of Man","resolved","ng3k-direct","Isle of Man","Isle of Man"
"GU","Guernsey","resolved","ng3k-direct","Guernsey","Guernsey"
"GW","Wales","resolved","ng3k-direct","Wales","Wales"
"H2","Cyprus","resolved","ng3k-direct","Cyprus","Cyprus"
"H3","Panama","resolved","ng3k-direct","Panama","Panama"
"H4","Solomon Is","resolved","ng3k-itu-owner","Solomon Is","Solomon Islands"
"H40","Temotu","resolved","ng3k-itu-owner","Temotu","Temotu Province"
"H5","So Africa","resolved","ng3k-itu-owner","So Africa","South Africa"
"H6","Nicaragua","resolved","ng3k-direct","Nicaragua","Nicaragua"
"H7","Nicaragua","resolved","ng3k-direct","Nicaragua","Nicaragua"
"H8","Panama","resolved","ng3k-direct","Panama","Panama"
"H9","Panama","resolved","ng3k-direct","Panama","Panama"
"HA","Hungary","resolved","ng3k-direct","Hungary","Hungary"
"HB","Switzerland","resolved","ng3k-direct","Switzerland","Switzerland"
"HB0","Liechtenstein","resolved","ng3k-direct","Liechtenstein","Liechtenstein"
"HC","Ecuador","resolved","ng3k-direct","Ecuador","Ecuador"
"HC8","Galapagos Is","resolved","ng3k-itu-owner","Galapagos Is","Galapagos Islands"
"HC8M/5","Ecuador","resolved","ng3k-direct","Ecuador","Ecuador"
"HD","Ecuador","resolved","ng3k-direct","Ecuador","Ecuador"
"HD8","Galapagos Is","resolved","ng3k-itu-owner","Galapagos Is","Galapagos Islands"
"HE","Switzerland","resolved","ng3k-direct","Switzerland","Switzerland"
"HE0","Liechtenstein","resolved","ng3k-direct","Liechtenstein","Liechtenstein"
"HF","Poland","resolved","ng3k-direct","Poland","Poland"
"HF0PAS","Antarctica","resolved","ng3k-itu-owner","Antarctica","South Shetland Islands"
"HG","Hungary","resolved","ng3k-direct","Hungary","Hungary"
"HH","Haiti","resolved","ng3k-direct","Haiti","Haiti"
"HI","Dominican Rep","resolved","ng3k-itu-owner","Dominican Rep","Dominican Republic"
"HJ","Colombia","resolved","ng3k-direct","Colombia","Colombia"
"HJ0","Bajo Nuevo","resolved","ng3k-itu-owner","Bajo Nuevo","San Andres & Providencia"
"HJ0M","","unresolved","","","Malpelo Island"
"HK","Colombia","resolved","ng3k-direct","Colombia","Colombia"
"HK0","Bajo Nuevo","resolved","ng3k-itu-owner","Bajo Nuevo","San Andres & Providencia"
"HK0/A","Bajo Nuevo","resolved","ng3k-itu-owner","Bajo Nuevo","San Andres & Providencia"
"HK0/M","","unresolved","","","Malpelo Island"
"HK0M","","unresolved","","","Malpelo Island"
"HK0TU","","unresolved","","","Malpelo Island"
"HL","So Korea","resolved","ng3k-itu-owner","So Korea","Republic of Korea"
"HN","Iraq","resolved","ng3k-direct","Iraq","Iraq"
"HO","Panama","resolved","ng3k-direct","Panama","Panama"
"HP","Panama","resolved","ng3k-direct","Panama","Panama"
"HQ","Honduras","resolved","ng3k-direct","Honduras","Honduras"
"HR","Honduras","resolved","ng3k-direct","Honduras","Honduras"
"HS","Thailand","resolved","ng3k-direct","Thailand","Thailand"
"HT","Nicaragua","resolved","ng3k-direct","Nicaragua","Nicaragua"
"HU","El Salvador","resolved","ng3k-direct","El Salvador","El Salvador"
"HV","Vatican","resolved","ng3k-itu-owner","Vatican","Vatican City"
"HW","France","resolved","ng3k-direct","France","France"
"HX","France","resolved","ng3k-direct","France","France"
"HY","France","resolved","ng3k-direct","France","France"
"HZ","Saudi Arabia","resolved","ng3k-direct","Saudi Arabia","Saudi Arabia"
"I","Italy","resolved","ng3k-direct","Italy","Italy"
"I2DMK/RM","Italy","resolved","ng3k-direct","Italy","Italy"
"IA5KRO/4","Italy","resolved","ng3k-direct","Italy","Italy"
"IB9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"ID9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IE9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IF9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IG9","Italy","resolved","ng3k-itu-owner","Italy","African Italy"
"IH9","Italy","resolved","ng3k-itu-owner","Italy","African Italy"
"II0D","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"II0ICH","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"II0ICV","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"II0IDP","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"II0M","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"II9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IJ9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IM0","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IO9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IP0A","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IP0Y","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IP9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IQ0AAI","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AG","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AH","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AI","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AK","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AK/P","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AL","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0AM","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0EH","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0HO","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0ID","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0NU","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0OG","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0PM","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0QP","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ0SS","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IQ9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IR0A","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IR0IDP","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IR0RCAG","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IR0RIVA","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IR0SAR","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IR9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IS","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IS0","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IT9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IT9CLY/4","Italy","resolved","ng3k-direct","Italy","Italy"
"IT9ELM/0","Italy","resolved","ng3k-direct","Italy","Italy"
"IU9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IW0HBY/9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IW0U","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW0V","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW0W","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW0X","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW0Y","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW0Z","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IW9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"IY0GA","Sardinia","resolved","ng3k-direct","Sardinia","Sardinia"
"IY9","Italy","resolved","ng3k-itu-owner","Italy","Sicily"
"J2","Djibouti","resolved","ng3k-direct","Djibouti","Djibouti"
"J3","Grenada","resolved","ng3k-direct","Grenada","Grenada"
"J4","Greece","resolved","ng3k-direct","Greece","Greece"
"J45","Dodecanese","resolved","ng3k-direct","Dodecanese","Dodecanese"
"J49","Crete","resolved","ng3k-direct","Crete","Crete"
"J5","Guinea-Bissau","resolved","ng3k-direct","Guinea-Bissau","Guinea-Bissau"
"J6","St Lucia","resolved","ng3k-itu-owner","St Lucia","St. Lucia"
"J7","Dominica","resolved","ng3k-direct","Dominica","Dominica"
"J8","St Vincent","resolved","ng3k-itu-owner","St Vincent","St. Vincent"
"JA","Japan","resolved","ng3k-direct","Japan","Japan"
"JD/M","Minami Torishima","resolved","ng3k-direct","Minami Torishima","Minami Torishima"
"JD/O","Okino Tori-shima","resolved","ng3k-itu-owner","Okino Tori-shima","Ogasawara"
"JD1","Okino Tori-shima","resolved","ng3k-itu-owner","Okino Tori-shima","Ogasawara"
"JD1BPS/1","Japan","resolved","ng3k-direct","Japan","Japan"
