"prefix","owner_country","status","source","candidates","dxcc_examples"
"4I","Philippines","resolved","ng3k-direct","Philippines","Philippines"
"4J","Azerbaijan","resolved","ng3k-direct","Azerbaijan","Azerbaijan"
"4K","Azerbaijan","resolved","ng3k-direct","Azerbaijan","Azerbaijan"
"4L","Georgia","resolved","ng3k-direct","Georgia","Georgia"
"4M","Venezuela","resolved","ng3k-direct","Venezuela","Venezuela"
"4M0","Aves Is","resolved","ng3k-itu-owner","Aves Is","Aves Island"
"4O","Montenegro","resolved","ng3k-direct","Montenegro","Montenegro"
"4P","Sri Lanka","resolved","ng3k-direct","Sri Lanka","Sri Lanka"
"4Q","Sri Lanka","resolved","ng3k-direct","Sri Lanka","Sri Lanka"
"4R","Sri Lanka","resolved","ng3k-direct","Sri Lanka","Sri Lanka"
"4S","Sri Lanka","resolved","ng3k-direct","Sri Lanka","Sri Lanka"
"4T","Peru","resolved","ng3k-direct","Peru","Peru"
"4U","Italy","resolved","ng3k-direct","Italy","Italy"
"4U0IARU","Austria","resolved","ng3k-direct","Austria","Austria"
"4U0ITU","","unresolved","","","ITU HQ"
"4U0R","Austria","resolved","ng3k-direct","Austria","Austria"
"4U1A","","unresolved","","","Vienna Intl Ctr"
"4U1I","","unresolved","","","ITU HQ"
"4U1ITU","","unresolved","","","ITU HQ"
"4U1U","","unresolved","","","United Nations HQ"
"4U1UN","","unresolved","","","United Nations HQ"
"4U1V","","unresolved","","","Vienna Intl Ctr"
"4U1VIC","Austria","resolved","ng3k-direct","Austria","Austria"
"4U1WB","United States","resolved","ng3k-direct","United States","United States"
"4U1WRC","","unresolved","","","ITU HQ"
"4U2U","Austria","resolved","ng3k-direct","Austria","Austria"
"4UNR","Austria","resolved","ng3k-direct","Austria","Austria"
"4V","Haiti","resolved","ng3k-direct","Haiti","Haiti"
"4W","Timor Leste","resolved","ng3k-itu-owner","Timor Leste","Timor - Leste"
"4X","Israel","resolved","ng3k-direct","Israel","Israel"
"4Y1A","Austria","resolved","ng3k-direct","Austria","Austria"
"4Z","Israel","resolved","ng3k-direct","Israel","Israel"
"5A","Libya","resolved","ng3k-direct","Libya","Libya"
"5B","Cyprus","resolved","ng3k-direct","Cyprus","Cyprus"
"5C","Morocco","resolved","ng3k-direct","Morocco","Morocco"
"5D","Morocco","resolved","ng3k-direct","Morocco","Morocco"
"5E","Morocco","resolved","ng3k-direct","Morocco","Morocco"
"5F","Morocco","resolved","ng3k-direct","Morocco","Morocco"
"5G","Morocco","resolved","ng3k-direct","Morocco","Morocco"
"5H","Tanzania","resolved","ng3k-direct","Tanzania","Tanzania"
"5I","Tanzania","resolved","ng3k-direct","Tanzania","Tanzania"
"5J","Colombia","resolved","ng3k-direct","Colombia","Colombia"
"5J0","Bajo Nuevo","resolved","ng3k-itu-owner","Bajo Nuevo","San Andres & Providencia"
"5K","Colombia","resolved","ng3k-direct","Colombia","Colombia"
"5K0","Bajo Nuevo","resolved","ng3k-itu-owner","Bajo Nuevo","San Andres & Providencia"
"5L","Liberia","resolved","ng3k-direct","Liberia","Liberia"
"5M","Liberia","resolved","ng3k-direct","Liberia","Liberia"
"5N","Nigeria","resolved","ng3k-direct","Nigeria","Nigeria"
"5O","Nigeria","resolved","ng3k-direct","Nigeria","Nigeria"
"5P","Denmark","resolved","ng3k-direct","Denmark","Denmark"
"5Q","Denmark","resolved","ng3k-direct","Denmark","Denmark"
"5R","Madagascar","resolved","ng3k-direct","Madagascar","Madagascar"
"5S","Madagascar","resolved","ng3k-direct","Madagascar","Madagascar"
"5T","Mauritania","resolved","ng3k-direct","Mauritania","Mauritania"
"5U","Niger","resolved","ng3k-direct","Niger","Niger"
"5V","Togo","resolved","ng3k-direct","Togo","Togo"
"5W","Samoa","resolved","ng3k-direct","Samoa","Samoa"
"5X","Uganda","resolved","ng3k-direct","Uganda","Uganda"
"5Y","Kenya","resolved","ng3k-direct","Kenya","Kenya"
"5Z","Kenya","resolved","ng3k-direct","Kenya","Kenya"
"6A","Egypt","resolved","ng3k-direct","Egypt","Egypt"
"6B","Egypt","resolved","ng3k-direct","Egypt","Egypt"
"6C","Syria","resolved","ng3k-direct","Syria","Syria"
