"Prefix","Entity","Cont","ITUZone","CQZone","UTC","Lat","Long","Col9_ITUAlloc","Col10_Other","Col11_FlagCountry"
"A9","Bahrain","As","39","21","+4","26N","51E","A9","","Bahrain"
"KH1","Baker & Howland Is.","Oc","61","31","-12","0N","176W","","AH1, NH1, WH1","United States of America"
"EA6","Balearic Is.","Eu","37","14","+1","38N","3E","","","Spain"
"T33","Banaba I. (Ocean I.)","Oc","65","31","+11.5","1S","170E","","","C. Kiribati (British Phoenix Is.)"
"S2","Bangladesh","As","41","22","+6","24N","90E","S2-S3","","Bangladesh"
"8P","Barbados","NA","11","08","-4","13N","60W","8P","","Barbados"
"EV","Belarus","Eu","29","16","+2","54N","28E","EU-EW","UC","Belarus"
"ON","Belgium","Eu","27","14","+1","51N","4E","ON-OT","","Belgium"
"V3","Belize","NA","11","07","-5.5","17N","89W","V3","","Belize"
"TY","Benin","Af","46","35","+0","6N","3E","TY","","Benin"
"VP9","Bermuda","NA","11","05","-4","32N","65W","","","England"
"A5","Bhutan","As","41","22","+5.5","28N","90E","A5","","Bhutan"
"CP","Bolivia","SA","12, 14","10","-4","17S","68W","CP","","Bolivia"
"PJ4","Bonaire","SA","11","09","-4","12N","68W","","","Netherlands"
"E7","Bosnia-Herzegovina","Eu","28","15","+1","44N","18E","E7","T9","Bosnia-Herzegovina"
"A2","Botswana","Af","57","38","+2","25S","26E","8O, A2","","Botswana"
"3Y","Bouvet","Af","67","38","+0","54S","3E","","","Norway"
"VP2V","British Virgin Is.","NA","11","08","-4","18N","65W","","","England"
"PY","Brazil","SA","12, 13, 15","11","-3","16S","48W","PP-PY, ZV-ZZ","","Brazil"
"V8","Brunei Darussalam","Oc","54","28","+8","5N","115E","V8","","Brunei Darussalam"
"LZ","Bulgaria","Eu","28","20","+2","43N","23E","LZ","","Bulgaria"
"XT","Burkina Faso","Af","46","35","+0","12N","2W","XT","","Burkina Faso"
"9U","Burundi","Af","52","36","+3","3S","29E","9U","","Burundi"
"XU","Cambodia","As","49","26","+8","12N","105E","XU","","Cambodia"
"TJ","Cameroon","Af","47","36","+1","4N","12E","TJ","","Cameroon"
"VE","Canada","NA","02-04, 09, 75","01-05","-5","45N","76W","CF-CK, CY-CZ, VA-VG, VO, VX-VY, XJ-XO","VA, VO, VY","Canada"
"EA8","Canary Is.","Af","36","33","+0","28N","15W","","","Spain"
"D4","Cape Verde","Af","46","35","-2","15N","23W","D4","","Cape Verde"
"ZF","Cayman Is.","NA","11","08","-5","19N","81W","","","England"
"TL","Central Africa","Af","47","36","+1","5N","19E","TL","","Central Africa"
"T31","C. Kiribati (British Phoenix Is.)","Oc","62","31","+12","4S","171W","T3","","C. Kiribati (British Phoenix Is.)"
"EA9","Ceuta & Melilla","Af","37","33","+1","36N","5W","","","Spain"
"TT","Chad","Af","47","36","+1","12N","15E","TT","","Chad"
"VQ9","Chagos Is.","Af","41","39","+5","7S","72E","","","England"
"ZL7","Chatham Is.","Oc","60","32","+12.75","44S","177W","","","New Zealand"
"FK","Chesterfield Is.","Oc","55","30","+11","20S","158E","","TX","France"
"CE","Chile","SA","14, 16","12","-4","33S","71W","3G, CA-CE, XQ-XR","","Chile"
"BY","China","As","33, 42-44","23, 24","+8","40N","116E","3H-3U, BA-BZ, VR, XS","","China"
"VK9X","Christmas I.","Oc","54","29","+7","10S","106E","","","Australia"
"FO0","Clipperton I.","NA","10","07","-7","10N","109W","","TX","France"
"TI9","Cocos I.","NA","11","07","-6","6N","87W","","","Costa Rica"
"VK9C","Cocos (Keeling) Is.","Oc","54","29","+6.5","12S","97E","","VK9Y","Australia"
"HK","Colombia","SA","12","09","-5","5N","74W","5J-5K, HJ-HK","","Colombia"
"D6","Comoros","Af","53","39","+3","12S","43E","D6","","Comoros"
"TN","Congo","Af","52","36","+1","4S","15E","TN","","Congo"
"3D2","Conway Reef","Oc","56","32","+12","22S","175E","","","Fiji"
"TK","Corsica","Eu","28","15","+1","42N","9E","","","France"
"TI","Costa Rica","NA","11","07","-6","10N","84W","TE, TI","","Costa Rica"
"SV9","Crete","Eu","28","20","+2","36N","24E","","","Greece"
"9A","Croatia","Eu","28","15","+1","46N","16E","9A","","Croatia"
"FT_W","Crozet I.","Af","68","39","+3","46S","52E","","TX","France"
"CO","Cuba","NA","11","08","-5","23N","82W","CL-CM, CO, T4","","Cuba"
"PJ2","Curacao","SA","11","09","-4","12N","69W","","","Netherlands"
"ZC","UK Sovereign Base Areas on Cyprus","As","39","20","+2","35N","33E","","","England"
"5B","Cyprus","As","39","20","+3","35N","33E","5B, C4, H2, P3","","Cyprus"
"OK","Czech Republic","Eu","28","15","+1","50N","15E","OK-OL","","Czech Republic"
"9Q","Dem. Rep. Of Congo","Af","52","36","+1","4S","15E","9O-9T","","Dem. Rep. Of Congo"
"OZ","Denmark","Eu","18","14","+1","56N","13E","5P-5Q, OU-OZ, XP","","Denmark"
"KP5","Desecheo I.","NA","11","08","-4","18N","68W","","NP5, WP5","United States of America"
"J2","Djibouti","Af","48","37","+3","12N","43E","J2","","Djibouti"
"SV5","Dodecanese","Eu","28","20","+2","36N","28E","","","Greece"
"J7","Dominica","NA","11","08","-4","15N","61W","J7","","Dominica"
"HI","Dominican Republic","NA","11","08","-5","18N","70W","HI","","Dominican Republic"
"VP6","Ducie I.","Oc","63","32","-8.5","25S","125W","","","England"
"T32","E. Kiribati (Line Is.)","Oc","61, 63","31","+12","2N","158W","","","C. Kiribati (British Phoenix Is.)"
"9M6","East Malaysia","Oc","54","28","+8","2N","110E","","9M8","West Malaysia"
"CE0Y","Easter I.","SA","63","12","-7","27S","109W","","","Chile"
"HC","Ecuador","SA","12","10","-5","0N","79W","HC-HD","","Ecuador"
"SU","Egypt","Af, As","38","34","+2","31N","31E","6A-6B, SSA-SSM, SU","","Egypt"
"YS","El Salvador","NA","11","07","-6","14N","89W","HU, YS","","El Salvador"
"G","England","Eu","27","14","+0","52N","0W","2A-2Z, GA-GZ, MA-MZ, VP-VQ, VS, ZB-ZJ, ZN-ZO, ZQ","2E, GX, M, MX","England"
"3C","Equatorial Guinea","Af","47","36","-1","4N","9E","3C","","Equatorial Guinea"
"E3","Eritrea","Af","48","37","+3","15N","39E","E3","ET2","Eritrea"
"ES","Estonia","Eu","29","15","+2","59N","25E","ES","UR","Estonia"
"ET","Ethiopia","Af","48","37","+3","9N","39E","9E-9F, ET","","Ethiopia"
"VP8","Falkland Is.","SA","16","13","-4","52S","58W","","","England"
"OY","Faroe Is.","Eu","18","14","+0","62N","7W","","OW","Denmark"
"PY0F","Fernando de Noronha","SA","13","11","-2","4S","32W","","PY0ZF","Brazil"
"3D2","Fiji","Oc","56","32","+12","18S","178E","3DN-3DZ","","Fiji"
"OH","Finland","Eu","18","15","+2","60N","25E","OF-OJ","","Finland"
"F","France","Eu","27","14","+1","49N","2E","FA-FZ, HW-HY, TH, TK, TM, TO-TQ, TV-TX","","France"
"R1FJ","Franz Josef Land","Eu","75","40","+3","81N","48E","","4K2","European Russia"
"FY","French Guiana","SA","12","09","-4","5N","52W","","TO","France"
"FO","French Polynesia","Oc","63","32","-10","18S","150W","","TX","France"
"TR","Gabon","Af","52","36","+1","1N","10E","TR","","Gabon"
"HC8","Galapagos Is.","SA","12","10","-6","1S","90W","","","Ecuador"
"C5","The Gambia","Af","46","35","+0","13N","17W","C5","","The Gambia"
"4L","Georgia","As","29","21","+4","42N","45E","4L","UF","Georgia"
"DL","Fed. Rep. of Germany","Eu","28","14","+1","53N","13E","DA-DR, Y2-Y9","","Fed. Rep. of Germany"
"9G","Ghana","Af","46","35","+0","5N","0W","9G","","Ghana"
"ZB","Gibraltar","Eu","37","14","+1","37N","5W","","","England"
"FT_G","Glorioso Is.","Af","53","39","+3","12S","47E","","FR/G, TO","France"
"SV","Greece","Eu","28","20","+2","38N","24E","J4, SV-SZ","","Greece"
"OX","Greenland","NA","05, 75","40","-3","64N","52W","","XP","Denmark"
"J3","Grenada","NA","11","08","-4","12N","62W","J3","","Grenada"
"FG","Guadeloupe","NA","11","08","-4","16N","62W","","TO","France"
"KH2","Guam","Oc","64","27","+10","13N","145E","","AH2, NH2, WH2","United States of America"
"KG4","Guantanamo Bay","NA","11","08","-5","20N","75W","","","United States of America"
"TG","Guatemala","NA","11","07","-6","16N","92W","TD, TG","","Guatemala"
"GU","Guernsey","Eu","27","14","+0","49N","3W","","2U, GP, MU, MP","England"
"J5","Guinea-Bissau","Af","46","35","-1","12N","16W","J5","","Guinea-Bissau"
"3X","Guinea","Af","46","35","+0","10N","14W","3X","","Guinea"
"8R","Guyana","SA","12","09","-3.75","6N","58W","8R","","Guyana"
"HH","Haiti","NA","11","08","-5","19N","72W","4V, HH","","Haiti"
"KH6","Hawaii","Oc","61","31","-10","21N","158W","","AH6, NH6, WH6, AH7, KH7, NH7, WH7","United States of America"
"VK0","Heard I.","Af","68","39","+5","53S","73E","","","Australia"
"HR","Honduras","NA","11","07","-6","14N","87W","HQ-HR","","Honduras"
"VR2","Hong Kong","As","44","24","+8","22N","114E","","VS6","China"
"HA","Hungary","Eu","28","15","+1","48N","19E","HA, HG","","Hungary"
"4U","ITU HQ","Eu","28","14","+1","46N","6E","","","ITU HQ"
"TF","Iceland","Eu","17","40","+0","64N","22W","TF","","Iceland"
"VU","India","As","41","22","+5.5","29N","77E","8T-8Y, AT-AW, VT-VW","","India"
"YB","Indonesia","Oc","51, 54","28","+7.5","6S","107E","7A-7I, 8A-8I, JZ, PK-PO, YB-YH","","Indonesia"
"EP","Iran","As","40","21","+3.5","36N","51E","9B-9D, EP-EQ","","Iran"
"YI","Iraq","As","39","21","+3","32N","45E","HN, YI","","Iraq"
"EI","Ireland","Eu","27","14","+0","53N","6W","EI-EJ","","Ireland"
"GD","Isle of Man","Eu","27","14","+0","54N","4W","","2D, GT, MD, MT","England"
"4X","Israel","As","39","20","+2","32N","35E","4X, 4Z","","Israel"
"I","Italy","Eu, Af","28, 37","15, 33","+1","42N","12E","IA-IZ","","Italy"
"TU","Cote d'Ivoire","Af","46","35","+0","7N","5W","TU","","Cote d'Ivoire"
"6Y","Jamaica","NA","11","08","-5","18N","77W","6Y","","Jamaica"
"JX","Jan Mayen","Eu","18","40","-1","71N","9W","","","Norway"
"JA","Japan","As","45","25","+9","36N","140E","7J-7N, 8J-8N, JA-JS","","Japan"
"GJ","Jersey","Eu","27","14","+0","49N","2W","","2J, GH, MJ, MH","England"
"KH3","Johnston I.","Oc","61","31","-11","17N","170W","","AH3, NH3, WH3","United States of America"
"JY","Jordan","As","39","20","+2","32N","36E","JY","","Jordan"
"CE0Z","Juan Fernandez Is.","SA","14","12","-4","34S","79W","","","Chile"
"FT_J","Juan de Nova, Europa","Af","53","39","+3","17S","43E","","FT_E, FR/J, TO","France"
"UA2","Kaliningrad","Eu","29","15","+2","55N","21E","","","Russia"
"UN","Kazakhstan","As","29-31","17","+5.5","43N","77E","UN-UQ","UL","Kazakhstan"
"5Z","Kenya","Af","48","37","+3","2S","37E","5Y-5Z","","Kenya"
"FT_X","Kerguelen Is.","Af","68","39","+5","50S","70E","","TX","France"
"ZL8","Kermadec Is.","Oc","60","32","+12","29S","178W","","","New Zealand"
"KH5K","Kingman Reef","Oc","61","31","-11","6N","162W","","AH5K, NH5K, WH5K","United States of America"
"Z6","Republic of Kosovo","Eu","28","15","+1","42N","21E","","","Republic of Kosovo"
"KH7K","Kure I.","Oc","61","31","-11","29N","178W","","AH7K, NH7K, WH7K","United States of America"
"9K","Kuwait","As","39","21","+3","29N","48E","9K","","Kuwait"
"EX","Kyrgystan","As","30, 31","17","+6","43N","75E","EX","UM","Kyrgystan"
"VU7","Lakshadweep Is.","As","41","22","+5.5","11N","73E","","","India"
"XW","Laos","As","49","26","+7","20N","102E","XW","","Laos"
"YL","Latvia","Eu","29","15","+2","57N","24E","YL","UQ","Latvia"
"OD","Lebanon","As","39","20","+2","34N","36E","OD","","Lebanon"
"7P","Lesotho","Af","57","38","+2","29S","27E","7P","","Lesotho"
"EL","Liberia","Af","46","35","-0.75","6N","11W","5L-5M, 6Z, A8, D5, EL","","Liberia"
"5A","Libya","Af","38","34","+2","33N","13E","5A","","Libya"
"HB0","Liechtenstein","Eu","28","14","+1","47N","10E","","","Switzerland"
"LY","Lithuania","Eu","29","15","+2","55N","25E","LY","UP","Lithuania"
"VK9L","Lord Howe I.","Oc","60","30","+10","31S","159E","","","Australia"
"LX","Luxembourg","Eu","27","14","+1","50N","6E","LX","","Luxembourg"
"XX9","Macao","As","44","24","+8","22N","114E","","","Portugal"
"Z3","Macedonia","Eu","28","15","+1","42N","22E","Z3","4N5","Macedonia"
"VK0","Macquarie I.","Oc","60","30","+11","54S","159E","","","Australia"
"5R","Madagascar","Af","53","39","+3","19S","48E","5R-5S, 6X","","Madagascar"
"CT3","Madeira Is.","Af","36","33","-1","33N","17W","","","Portugal"
"7Q","Malawi","Af","53","37","+2","14S","34E","7Q","","Malawi"
"8Q","Maldives","As, Af","41","22","+5","4N","73E","8Q","","Maldives"
"TZ","Mali","Af","46","35","+0","13N","8W","TZ","","Mali"
"HK0","Malpelo I.","SA","12","09","-5","4N","82W","","","Colombia"
"9H","Malta","Eu","28","15","+1","36N","15E","9H","","Malta"
"R1MV","Malyj Vysotskij Is","Eu","29","16","+3","61N","29E","","4J1","European Russia"
"KH0","Mariana Is.","Oc","64","27","+10","15N","146E","","AH0, NH0, WH0","United States of America"
"OJ0","Market Reef","Eu","18","15","+2","60N","19E","","","Finland"
"FO0","Marquesas I.","Oc","63","31","-10","9S","140W","","TX","France"
"V7","Marshall Is.","Oc","65","31","+12","7N","171E","V7","KX6","Marshall Is."
"FM","Martinique","NA","11","08","-4","15N","61W","","TO","France"
"5T","Mauritania","Af","46","35","-1","18N","16W","5T","","Mauritania"
"3B8","Mauritius","Af","53","39","+4","20S","58E","3B","","Mauritius"
"FH","Mayotte","Af","53","39","+3","13S","45E","","TX","France"
"VK9M","Mellish Reef","Oc","55","30","+10","17S","156E","","VK9Z","Australia"
"XE","Mexico","NA","10","06","-6","20N","99W","4A-4C, 6D-6J, XA-XI","","Mexico"
"V6","Micronesia","Oc","65","27","+11","7N","158E","V6","KC6","Micronesia"
"KH4","Midway I.","Oc","61","31","-11","28N","177W","","AH4, NH4, WH4","United States of America"
"JD","Minami Torishima","Oc","90","27","+10","24N","154E","","","Japan"
"ER","Moldova","Eu","29","16","+3","47N","29E","ER","UO","Moldova"
"3A","Monaco","Eu","27","14","+1","44N","8E","3A","","Monaco"
"JT","Mongolia","As","32, 33","23","+7.5","48N","107E","JT-JV","","Mongolia"
"4O","Montenegro","Eu","28","15","+1","42N","19E","4O","YU3, YU6, ..","Montenegro"
"VP2M","Montserrat","NA","11","08","-4","17N","62W","","","England"
"CN","Morocco","Af","37","33","+0","34N","7W","5C-5G, CN","","Morocco"
"C9","Mozambique","Af","53","37","+2","26S","33E","C8-C9","","Mozambique"
"SV1/A","Mount Athos","Eu","28","20","+2","40N","24E","","SY2","Greece"
"XZ","Myanmar","As","49","26","+6.5","17N","96E","XY-XZ","","Myanmar"
"ZL9","New Zealand Subantarctic Islands","Oc","60","32","+12","51S","166E","","","New Zealand"
"V5","Namibia","Af","57","38","+2","22S","17E","V5","","Namibia"
"C2","Nauru","Oc","65","31","+11.5","1S","167E","C2","","Nauru"
"KP1","Navassa I.","NA","11","08","-5","18N","75W","","NP1, WP1","United States of America"
"9N","Nepal","As","42","22","+5.75","28N","85E","9N","","Nepal"
"PA","Netherlands","Eu","27","14","+1","52N","5E","PA-PJ","","Netherlands"
"FK","New Caledonia","Oc","56","32","+11","22S","167E","","TX","France"
"ZL","New Zealand","Oc","60","32","+12","41S","175E","ZK-ZM","","New Zealand"
"YN","Nicaragua","NA","11","07","-6","12N","87W","HT, H6-H7, YN","","Nicaragua"
"5U","Niger","Af","46","35","+1","14N","2W","5U","","Niger"
"5N","Nigeria","Af","46","35","+1","6N","3E","5N-5O","","Nigeria"
"E6","Niue","Oc","62","32","-11","19S","170W","","","Niue"
"E5","N. Cook Is.","Oc","62, 63","32","-10.5","10S","161W","","ZK1","New Zealand"
"GI","Northern Ireland","Eu","27","14","+0","55N","6W","","2I, GN, MI, MN","England"
"P5","North Korea","As","44","25","+9","39N","126E","HM, P5-P9","","North Korea"
"VK9N","Norfolk I.","Oc","60","32","+11.5","29S","168E","","","Australia"
"LA","Norway","Eu","18","14","+1","60N","11E","3Y, JW-JX, LA-LN","","Norway"
"JD","Ogasawara","As","45","27","+10","28N","142E","","","Japan"
"A4","Oman","As","39","21","+4","24N","59E","A4","","Oman"
"AP","Pakistan","As","41","21","+5","34N","73E","6P-6S, AP-AS","","Pakistan"
"T8","Palau","Oc","64","27","+10","7N","134E","T8","KC6","Palau"
"E4","Palestine","As","39","20","+2","32N","34E","E4","","Palestine"
"KH5","Palmyra & Jarvis Is.","Oc","61, 62","31","-11","6N","162W","","AH5, NH5, WH5","United States of America"
"HP","Panama","NA","11","07","-5","9N","80W","3E-3F, HO-HP, H3, H8-H9","","Panama"
"P2","Papua New Guinea","Oc","51","28","+10","10S","147E","P2","","Papua New Guinea"
"ZP","Paraguay","SA","14","11","-4","26S","57W","ZP","","Paraguay"
"OA","Peru","SA","12","10","-5","12S","78W","4T, OA-OC","","Peru"
"3Y","Peter I I.","An","72","12","-6","69S","91W","","","Norway"
"DU","Philippines","Oc","50","27","+8","15N","121E","4D-4I, DU-DZ","","Philippines"
"VP6","Pitcairn I.","Oc","63","32","-8.5","25S","128W","","VR6","England"
"SP","Poland","Eu","28","15","+1","52N","21E","3Z, HF, SN-SR","","Poland"
"CT","Portugal","Eu","37","14","+0","39N","9W","CQ-CU, XX","","Portugal"
"ZS8","Prince Edward & Marion Is.","Af","57","38","+3","47S","38E","","","South Africa"
"BV9","Pratas","As","44","24","+8","21N","116E","","BQ9","China"
"KP4","Puerto Rico","NA","11","08","-4","18N","66W","","KP3, NP3, WP3, NP4, WP4","United States of America"
"A7","Qatar","As","39","21","+4","25N","52E","A7","","Qatar"
"FR","Reunion","Af","53","39","+4","21S","55E","","TO","France"
"XF4","Revilla Gigedo","NA","10","06","-7","18N","113W","","","Mexico"
"3B9","Rodriguez I.","Af","53","39","+4","20S","63E","","","Mauritius"
"YO","Romania","Eu","28","20","+2","45N","26E","YO-YR","","Romania"
"3D2","Rotuma I.","Oc","56","32","+12","13S","177E","","","Fiji"
"UA9","Asiatic Russia","As","20-26, 30-35, 75","16-19, 23","+7","52N","104E","","UA0","Russia"
"UA","European Russia","Eu","19, 20, 29, 30","16","+3","56N","37E","RA-RZ, UA-UI","U","Russia"
"9X","Rwanda","Af","52","36","+3","2S","30E","9X","","Rwanda"
"1A","Sov. Mil. Order of Malta","Eu","28","15","+1","42N","13E","1A~","","Sov. Mil. Order of Malta"
"PJ5","Saba & St. Eustatius","NA","11","08","-4","18N","63W","","PJ6","Netherlands"
"CY0","Sable I.","NA","09","05","-5","44N","60W","","","Canada"
"5W","Western Samoa","Oc","62","32","-11","14S","172W","5W","","Western Samoa"
"HK0","San Andres & Providencia","NA","11","07","-6","13N","82W","","","Colombia"
"CE0X","San Felix & San Ambrosio","SA","14","12","-5","26S","80W","","","Chile"
"T7","San Marino","Eu","28","15","+1","44N","12E","T7","","San Marino"
"S9","Sao Tome & Principe","Af","47","36","+0","0N","7E","S9","","Sao Tome & Principe"
"IS","Sardinia","Eu","28","15","+1","39N","9E","","","Italy"
"HZ","Saudi Arabia","As","39","21","+3","25N","47E","8Z, HZ, 7Z","","Saudi Arabia"
"BS7","Scarborough Reef","As","50","27","+8","15N","118E","","","China"
"GM","Scotland","Eu","27","14","+0","57N","2W","","2M, GS, GZ, MM, MS, MZ","England"
"6W","Senegal","Af","46","35","+0","15N","18W","6V-6W","","Senegal"
"YU","Serbia","Eu","28","15","+1","45N","21E","YT-YU","","Serbia"
"S7","Seychelles","Af","53","39","+4","5S","55E","S7","","Seychelles"
"9L","Sierra Leone","Af","46","35","+0","9N","13W","9L","","Sierra Leone"
"9V","Singapore","As","54","28","+7.5","1N","104E","9V, S6","","Singapore"
"OM","Slovak Republic","Eu","28","15","+1","48N","17E","OM","","Slovak Republic"
"S5","Slovenia","Eu","28","15","+1","46N","15E","S5","","Slovenia"
"ZS","South Africa","Af","57","38","+2","26S","28E","H5~, S4~, S8~, V9~, ZR-ZU","","South Africa"
"E5","S. Cook Is.","Oc","63","32","-10.5","22S","158W","","ZK1","New Zealand"
"VP8","South Georgia I.","SA","73","13","-1.5","54S","37W","","LU_Z","England"
"HL","South Korea","As","44","25","+9","38N","127E","6K-6N, DS-DT, D7-D9, HL","","South Korea"
"VP8","South Orkney Is.","SA","73","13","-3","61S","45W","","LU_Z","England"
"VP8","South Sandwich Is.","SA","73","13","-3","59S","27W","","LU_Z","England"
"VP8","South Shetland Is.","SA","73","13","-4","62S","58W","","LU_Z, CE9, HF0, R1AN, 4K1","England"
"H4","Solomon Is.","Oc","51","28","+11","9S","160E","H4","","Solomon Is."
"T5","Somalia","Af","48","37","+3","2N","46E","6O, T5","","Somalia"
"Z8","South Sudan","Af","48","34","+2","5N","32E","Z8","","South Sudan"
"EA","Spain","Eu","37","14","+1","40N","4W","AM-AO, EA-EH","","Spain"
"1S","Spratly Is.","As","50","26","+7","9N","112E","1S~","9M0, XV9","Spratly Is."
"4S","Sri Lanka","As","41","22","+5.5","7N","80E","4P-4S","","Sri Lanka"
"FJ","Saint Barthelemy","NA","11","08","-4","18N","63W","","TO","France"
"ZD7","St. Helena","Af","66","36","+0","16S","6W","","","England"
"V4","St. Kitts & Nevis","NA","11","08","-4","17N","63W","V4","","St. Kitts & Nevis"
"J6","St. Lucia","NA","11","08","-4","14N","61W","J6","","St. Lucia"
"PJ7","St Maarten","NA","11","08","-4","18N","63W","","","Netherlands"
"FS","Saint Martin","NA","11","08","-4","18N","63W","","TO","France"
"CY9","St. Paul I.","NA","09","05","-5","47N","60W","","","Canada"
"PY0P","St. Peter & St. Paul Rocks","SA","13","11","-2","1N","29W","","PY0ZP","Brazil"
"FP","St. Pierre & Miquelon","NA","09","05","-4","47N","56W","","TX","France"
"J8","St. Vincent","NA","11","08","-4","13N","61W","J8","","St. Vincent"
"ST","Sudan","Af","48","34","+2","16N","33E","6T-6U, SSN-SSZ, ST","","Sudan"
"PZ","Suriname","SA","12","09","-3.5","6N","55W","PZ","","Suriname"
"JW","Svalbard","Eu","18","40","+1","78N","16E","","","Norway"
"KH8S","Swains I.","Oc","62","32","-11","11S","171W","","AH8S, NH8S, WH8S","United States of America"
"3DA","Swaziland","Af","57","38","+2","26S","31E","3DA-3DM","3D6","Swaziland"
"SM","Sweden","Eu","18","14","+1","59N","18E","7S, 8S, SA-SM","","Sweden"
"HB","Switzerland","Eu","28","14","+1","47N","7E","HB, HE","","Switzerland"
"YK","Syria","As","39","20","+2","34N","36E","6C, YK","","Syria"
"BV","Taiwan","As","44","24","+8","25N","122E","","BM-BQ, BU, BW, BX","China"
"EY","Tajikistan","As","30","17","+6","39N","69E","EY","UJ","Tajikistan"
"5H","Tanzania","Af","53","37","+3","7S","39E","5H-5I","","Tanzania"
"H40","Temotu Province","Oc","51","28","+11","11S","166E","","","Solomon Is."
"HS","Thailand","As","49","26","+7","14N","101E","E2, HS","","Thailand"
"4W","East Timor","Oc","54","28","+8","9S","126E","4W","","East Timor"
"5V","Togo","Af","46","35","+0","6N","1E","5V","","Togo"
"ZK3","Tokelau Is.","Oc","62","31","-11","9S","171W","","","New Zealand"
"A3","Tonga","Oc","62","32","+13","21S","175W","A3","","Tonga"
"PY0T","Trindade & Martim Vaz Is.","SA","15","11","-2","21S","29W","","PY0ZT","Brazil"
"9Y","Trinidad & Tobago","SA","11","09","-4","11N","62W","9Y-9Z","","Trinidad & Tobago"
"ZD9","Tristan da Cunha & Gough I.","Af","66","38","+0","37S","12W","","","England"
"FT_T","Tromelin I.","Af","53","39","+4","16S","54E","","FR/T, TO","France"
"3V","Tunisia","Af","37","33","+1","37N","10E","3V, TS","","Tunisia"
"TA","Turkey","As, Eu","39","20","+2","40N","33E","TA-TC, YM","","Turkey"
"EZ","Turkmenistan","As","30","17","+5","38N","58E","EZ","UH","Turkmenistan"
"VP5","Turks & Caicos Is.","NA","11","08","-5","22N","71W","","","England"
"T2","Tuvalu","Oc","65","31","+12","9S","179E","T2","","Tuvalu"
"4U","United Nations HQ","NA","08","05","-5","41N","74W","4U","","ITU HQ"
"5X","Uganda","Af","48","37","+3","0N","33E","5X","","Uganda"
"UR","Ukraine","Eu","29","16","+2","50N","30E","EM-EO, UR-UZ","UB","Ukraine"
"A6","United Arab Emirates","As","39","21","+4","24N","54E","A6","","United Arab Emirates"
"K","United States of America","NA","06-08","03-05","-5","39N","77W","AA-AL, KA-KZ, NA-NZ, WA-WZ","","United States of America"
"CX","Uruguay","SA","14","13","-3","35S","56W","CV-CX","","Uruguay"
"UK","Uzbekistan","As","30","17","+6","41N","69E","UJ-UM","UI","Uzbekistan"
"YJ","Vanuatu","Oc","56","32","+11","18S","168E","YJ","","Vanuatu"
"HV","Vatican","Eu","28","15","+1","42N","13E","HV","","Vatican"
"YV","Venezuela","SA","12","09","-4","10N","67W","4M, YV-YY","","Venezuela"
"3W","Vietnam","As","49","26","+7","11N","107E","3W, XV","","Vietnam"
"KP2","Virgin Is.","NA","11","08","-4","18N","65W","","NP2, WP2","United States of America"
