"FlagCountry"
"Antigua, Barbuda"
"Bosnia-Hercegovina"
"Brunei"
"Central African Rep"
"Central Kiribati"
"Dem Rep Congo (Zaire)"
"Dominican Rep"
"Gambia"
"Germany"
"Ivory Coast"
"Kyrgyzstan"
"Marshall Is"
"Myanmar (Burma)"
"No Korea"
"Samoa"
"San Marino"
"Slovakia"
"SMO Malta"
"So Africa"
"So Korea"
"Solomon Is"
"Spratly Is"
"St Kitts, Nevis"
"St Lucia"
"St Vincent"
"Surinam"
"Timor Leste"
"UN HQ"
"United States"
